term;tag;ratio;hmMatch
бактериология;ABSTRACT;0.9999;0
бактериофаг;HUMAN;0.6566;0
бактерия;ANIMAL;0.8816;0
бакшиш;ABSTRACT:ACTION;0.9528;0
бакштаг;HUMAN;0.9454;0
бал;ABSTRACT:ACTION;1.0;1
бал-маскарад;ABSTRACT:ACTION;1.0;0
балабол;HUMAN;1.0;0
балаболка;HUMAN;1.0;1
балаган;PLACE;0.8505;0
балаганчик;THING;0.8616;0
балаганщик;HUMAN;0.9934;0
балагур;HUMAN;1.0;1
балагурство;ABSTRACT:ACTION;0.6372;0
балаклава;THING;0.9937;0
балалаечник;HUMAN;0.9998;0
балалайка;THING;0.9985;1
баламут;HUMAN;1.0;0
баланда;CHEMICAL_SUBSTANCE;0.6238;0
баланс;ABSTRACT;1.0;1
балансир;THING;0.9995;0
балансирование;ABSTRACT:ACTION;1.0;1
балансировка;ABSTRACT:ACTION;0.9567;0
балахон;THING;1.0;1
балахончик;THING;0.9947;1
балбес;HUMAN;0.9995;1
балда;HUMAN;0.915;1
балдахин;THING;0.9471;1
балдёж;ABSTRACT:ACTION;0.9925;0
балерина;HUMAN;1.0;1
балеринка;HUMAN;0.8247;0
балерун;HUMAN;1.0;1
балет;ABSTRACT:ACTION;1.0;0
балетмейстер;HUMAN;1.0;1
балкер;HUMAN;0.9477;0
балкон;PLACE;1.0;1
балкончик;CONSTRUCTION;0.9998;0
балл;ABSTRACT;1.0;1
баллада;ABSTRACT;1.0;1
балласт;THING;0.9998;1
баллиста;THING;1.0;0
баллистик;HUMAN;0.9984;0
баллистика;ABSTRACT;1.0;0
баллон;THING;1.0;1
баллончик;THING;1.0;1
баллотировка;ABSTRACT:ACTION;1.0;0
баловень;ABSTRACT:ACTION;0.8087;0
баловник;HUMAN;0.9934;0
баловница;HUMAN;0.9815;0
баловство;ABSTRACT:PROP;0.7412;0
балок;CONSTRUCTION;0.5719;0
балочка;PLACE;0.9997;0
балтиец;HUMAN;0.9996;0
балык;FOOD;0.9811;1
балычок;FOOD;0.9327;0
бальзам;CHEMICAL_SUBSTANCE;1.0;1
бальзамин;PLANT;0.9987;0
бальзамирование;ABSTRACT:ACTION;0.9991;1
бальзамировщик;HUMAN;0.9999;0
бальи;HUMAN;1.0;0
балюстрада;CONSTRUCTION;0.9999;1
балясина;THING;0.8719;0
бамбук;PLANT;1.0;1
бампер;TRANSPORT;0.7212;1
бан;HUMAN;1.0;0
банальность;ABSTRACT:PROP;0.9816;0
банальщина;ABSTRACT:ACTION;0.5811;0
банан;FOOD;1.0;1
банда;HUMAN;0.9546;0
бандаж;THING;1.0;1
бандана;THING;0.9999;1
бандеровец;HUMAN;1.0;0
бандероль;THING;0.9868;1
бандерша;HUMAN;1.0;0
банджо;THING;0.9996;1
бандит;HUMAN;1.0;1
бандитизм;ABSTRACT:ACTION;0.5234;0
бандитка;HUMAN;1.0;0
бандура;THING;1.0;1
бандюга;HUMAN;0.9999;0
бандюган;HUMAN;1.0;0
бандюк;HUMAN;1.0;0
банк;CONSTRUCTION;0.9996;0
банка;THING;1.0;1
банкет;ABSTRACT:ACTION;1.0;1
банкетка;FURNITURE;0.9922;0
банкинг;ABSTRACT:ACTION;0.4901;0
банкир;HUMAN;1.0;1
банкирша;HUMAN;1.0;0
банкнот;THING;0.9968;1
банкнота;THING;0.9834;1
банкомат;THING;0.9877;1
банкомёт;HUMAN;1.0;0
банкрот;HUMAN;0.8113;1
банкротство;ABSTRACT:ACTION;1.0;0
баннер;THING;0.9998;0
банник;THING;0.9615;0
баночка;THING;1.0;1
бант;THING;1.0;1
бантик;THING;0.9968;1
банчок;ABSTRACT;0.7346;0
банщик;HUMAN;1.0;1
банщица;HUMAN;0.9999;0
банька;CONSTRUCTION;0.9996;1
баньян;PLANT;1.0;0
баня;CONSTRUCTION;1.0;0
баобаб;PLANT;0.9669;1
баптизм;ABSTRACT;0.9981;0
баптист;HUMAN;1.0;0
баптистерий;CONSTRUCTION;0.9734;0
бар;PLACE;1.0;1
бара;HUMAN;0.7887;0
барабан;THING;1.0;1
барабанчик;THING;0.9998;1
барабанщик;HUMAN;1.0;1
барабанщица;HUMAN;0.9973;0
барабулька;ANIMAL;0.5556;0
барак;CONSTRUCTION;1.0;0
баран;ANIMAL;1.0;1
баранина;FOOD;1.0;1
баранка;TRANSPORT;0.6957;0
баранок;HUMAN;0.9384;0
баранта;ABSTRACT:ACTION;0.948;0
баранчик;ANIMAL;0.7691;0
барахлишко;THING;0.9962;1
барахло;THING;1.0;1
барахолка;CONSTRUCTION;0.668;0
барахольщик;HUMAN;1.0;0
барахтанье;ABSTRACT:ACTION;1.0;0
барашек;ANIMAL;1.0;1
барбакан;CONSTRUCTION;0.9652;0
барбарис;FOOD;0.5346;1
барбекю;FOOD;0.982;1
барбитурат;CHEMICAL_SUBSTANCE;0.8465;0
барбос;ANIMAL;0.9989;0
барвинок;PLANT;0.9995;0
бард;HUMAN;1.0;1
барда;CHEMICAL_SUBSTANCE;0.5336;0
бардак;ABSTRACT:ACTION;0.7591;0
бардачок;THING;0.9029;0
барельеф;THING;0.9997;0
баржа;TRANSPORT;1.0;1
барий;CHEMICAL_SUBSTANCE;0.993;0
барин;HUMAN;1.0;1
баритон;HUMAN;0.9123;0
барич;HUMAN;0.9999;0
барк;HUMAN;0.9577;0
барка;TRANSPORT;0.5706;0
баркас;TRANSPORT;0.6584;0
баркентина;THING;0.9571;0
бармен;HUMAN;1.0;1
барменша;HUMAN;1.0;1
бармица;THING;0.9997;0
барокамера;TRANSPORT;0.6318;0
барокко;ABSTRACT;0.9998;1
барометр;THING;0.9996;1
барон;HUMAN;1.0;1
баронесса;HUMAN;1.0;1
баронет;HUMAN;1.0;0
баронство;GROUP_OF_PEOPLE;0.5985;0
барраж;HUMAN;0.5619;0
барражирование;ABSTRACT:ACTION;0.9971;0
барракуда;ANIMAL;0.9993;0
баррель;ABSTRACT;0.7294;1
баррикада;CONSTRUCTION;1.0;1
барс;ANIMAL;1.0;1
барство;ABSTRACT;1.0;0
барсук;ANIMAL;1.0;1
барсучиха;HUMAN;0.9889;0
бартер;ABSTRACT:ACTION;0.8418;1
бархат;MATERIAL;0.9856;1
бархатистость;ABSTRACT:PROP;0.9846;0
бархотка;THING;0.9982;1
барчонок;HUMAN;0.9789;0
барчук;HUMAN;1.0;0
барщина;ABSTRACT:ACTION;0.6009;0
барыга;HUMAN;1.0;1
барынька;HUMAN;1.0;0
барыня;HUMAN;1.0;1
барыш;ABSTRACT;0.9593;0
барышник;HUMAN;1.0;1
барышня;HUMAN;1.0;1
барьер;CONSTRUCTION;1.0;1
барьерчик;CONSTRUCTION;0.9984;0
бас;ABSTRACT:ACTION;0.9196;0
бас-гитара;THING;1.0;0
бас-гитарист;HUMAN;1.0;0
басилевс;HUMAN;0.9999;0
басилей;HUMAN;1.0;0
баска;THING;0.9406;0
баскак;HUMAN;1.0;0
баскетбол;ABSTRACT:ACTION;0.9696;1
баскетболист;HUMAN;1.0;1
баскетболистка;HUMAN;0.9999;0
басма;THING;0.9368;0
басмач;HUMAN;1.0;1
басмачество;ABSTRACT;0.8671;0
баснописец;HUMAN;1.0;1
баснословие;ABSTRACT;0.9741;0
баснь;ABSTRACT;0.9961;1
басня;ABSTRACT;0.9985;1
басок;ABSTRACT:ACTION;0.6367;0
бассейн;PLACE;1.0;1
бассет;ANIMAL;0.791;0
бассет-хаунд;HUMAN;0.596;0
бастард;HUMAN;1.0;1
бастион;CONSTRUCTION;1.0;1
бастующие;GROUP_OF_PEOPLE;1.0;1
басурман;HUMAN;0.9997;1
басурманин;HUMAN;0.9991;1
баталия;ABSTRACT:ACTION;1.0;1
батальон;HUMAN;0.8593;0
баталёр;HUMAN;1.0;0
батарейка;THING;1.0;1
батарея;CONSTRUCTION;0.8145;0
батат;FOOD;1.0;1
батенька;HUMAN;0.9923;1
батик;THING;0.9776;0
батиплан;HUMAN;0.848;0
батискаф;THING;0.7107;0
батист;THING;0.7987;0
батисфера;THING;0.9922;0
батман;ABSTRACT:ACTION;0.7271;0
батник;THING;0.9949;1
батог;THING;0.6284;0
батон;FOOD;1.0;1
батончик;FOOD;0.9975;1
батрак;HUMAN;1.0;1
батрачка;HUMAN;1.0;0
баттерфляй;ABSTRACT:ACTION;0.8355;0
батут;THING;0.9865;1
батыр;HUMAN;1.0;1
батька;HUMAN;0.9999;1
батько;HUMAN;1.0;1
батюшка;HUMAN;1.0;1
батя;HUMAN;0.9999;1
баул;THING;0.9995;1
баульчик;THING;0.9994;1
бахвал;HUMAN;0.9995;0
бахвальство;ABSTRACT:PROP;0.9979;0
бахила;THING;0.9901;1
бахрома;THING;1.0;1
бахромка;THING;0.9825;0
бахтерец;THING;0.9922;0
бахча;PLACE;0.9763;1
бацилла;ABSTRACT:ACTION;0.3906;0
бачка;THING;0.9798;0
бачок;THING;0.9985;1
башенка;CONSTRUCTION;1.0;1
башибузук;HUMAN;1.0;0
башка;ANATOMY;0.8584;1
башкир;HUMAN;0.9208;1
башлык;THING;0.9994;1
башмак;THING;1.0;1
башмаки;THING;0.9999;1
башмачник;HUMAN;1.0;1
башмачок;THING;0.9999;1
башня;CONSTRUCTION;1.0;1
башнёр;HUMAN;0.9997;0
баштан;THING;0.9478;0
баядерка;HUMAN;0.9617;0
баян;THING;0.9985;1
баянист;HUMAN;1.0;0
бдение;ABSTRACT:ACTION;1.0;0
бдительность;ABSTRACT:PROP;1.0;1
бе;ABSTRACT:ACTION;0.3619;0
беарнец;HUMAN;0.9996;0
бебут;THING;0.9573;0
бег;ABSTRACT:ACTION;1.0;1
бега;ABSTRACT:ACTION;0.999;0
беганье;ABSTRACT:ACTION;0.9999;0
бегемот;ANIMAL;1.0;1
бегемотик;ANIMAL;0.9823;0
беглец;HUMAN;1.0;1
беглость;ABSTRACT:PROP;0.9982;0
беглянка;HUMAN;0.9971;1
бегония;PLANT;0.9993;0
беготня;ABSTRACT:ACTION;1.0;1
бегство;ABSTRACT:ACTION;1.0;1
бегун;HUMAN;1.0;1
бегунок;THING;0.9968;0
бегуны;GROUP_OF_PEOPLE;0.9995;0
бегунья;HUMAN;1.0;0
беда;ABSTRACT;1.0;0
бедж;THING;0.9906;0
беджик;THING;0.9784;0
бедлам;ABSTRACT:ACTION;0.9431;0
бедность;ABSTRACT:PROP;0.514;0
беднота;GROUP_OF_PEOPLE;1.0;0
бедный;ABSTRACT;0.9998;1
бедняга;HUMAN;1.0;1
бедняжка;HUMAN;0.9999;1
бедняк;HUMAN;1.0;1
бедолага;HUMAN;0.9996;1
бедро;ANATOMY;1.0;1
бедствие;ABSTRACT:ACTION;0.9985;0
бедуин;HUMAN;1.0;1
бедуинка;HUMAN;0.9991;0
беженец;HUMAN;0.9999;1
беженка;HUMAN;1.0;1
безалаберность;ABSTRACT:PROP;0.9964;1
безальтернативность;ABSTRACT:ACTION;0.3521;0
безапелляционность;ABSTRACT:PROP;0.997;0
безбашенность;ABSTRACT:PROP;0.9349;0
безбилетник;HUMAN;0.9997;1
безбожие;ABSTRACT:ACTION;0.6248;0
безбожник;HUMAN;1.0;1
безболезненность;ABSTRACT:ACTION;0.4428;0
безбрачие;ABSTRACT;1.0;1
безбрежность;ABSTRACT;1.0;0
безверие;ABSTRACT;1.0;0
безвестность;ABSTRACT;1.0;0
безветрие;ABSTRACT:ACTION;0.9753;0
безвкусие;ABSTRACT;1.0;0
безвкусица;ABSTRACT:PROP;0.8577;0
безвластие;ABSTRACT:ACTION;0.9722;0
безводье;ABSTRACT:ACTION;0.4493;0
безвозвратность;ABSTRACT:ACTION;0.4005;0
безволие;ABSTRACT:PROP;0.9995;0
безвольность;ABSTRACT:PROP;0.4468;0
безвредность;ABSTRACT:PROP;0.9883;0
безвременность;ABSTRACT:ACTION;0.8554;0
безвременье;ABSTRACT:ACTION;0.3441;0
безвыходность;ABSTRACT:PROP;0.7628;0
безгласность;ABSTRACT:ACTION;0.6009;0
безграмотность;ABSTRACT:PROP;0.981;1
безграничность;ABSTRACT:PROP;0.4599;0
безгрешность;ABSTRACT:PROP;0.9014;0
бездарность;ABSTRACT:PROP;0.9972;0
бездарь;ABSTRACT:ACTION;0.6998;0
бездействие;ABSTRACT:ACTION;0.9978;0
безделица;THING;0.9998;0
безделка;THING;0.9962;0
безделушка;THING;1.0;1
безделье;ABSTRACT:ACTION;0.9996;1
бездельник;HUMAN;1.0;1
бездельница;HUMAN;1.0;0
безденежье;ABSTRACT:ACTION;0.9421;0
бездетность;ABSTRACT:ACTION;0.588;0
бездеятельность;ABSTRACT:PROP;0.8701;0
бездна;ABSTRACT;1.0;1
бездомность;ABSTRACT;1.0;0
бездонность;ABSTRACT;0.9957;0
бездорожье;ANIMAL;0.5575;0
бездумность;ABSTRACT:PROP;0.9255;0
бездумье;ABSTRACT:PROP;0.4607;0
бездуховность;ABSTRACT;1.0;0
бездушие;ABSTRACT:PROP;0.9847;0
бездушность;ABSTRACT:PROP;0.9578;0
безе;FOOD;0.9965;1
безжалостность;ABSTRACT:PROP;0.9964;0
безжизненность;ABSTRACT:PROP;0.9994;0
беззаботность;ABSTRACT:PROP;0.9999;0
беззаконие;ABSTRACT;1.0;1
беззаконник;HUMAN;0.998;0
беззаконность;ABSTRACT:PROP;0.5991;0
беззастенчивость;ABSTRACT:PROP;0.9922;0
беззащитность;ABSTRACT:PROP;0.9985;1
беззвучие;ABSTRACT:ACTION;0.3719;0
беззвучность;ABSTRACT:PROP;0.3566;0
безликость;ABSTRACT:PROP;0.9954;0
безличие;ABSTRACT:PROP;0.7945;0
безличность;ABSTRACT:PROP;0.7516;0
безлюдность;ABSTRACT:PROP;0.8607;0
безлюдье;ABSTRACT:PROP;0.854;0
безмен;THING;1.0;0
безмерность;ABSTRACT:PROP;0.3983;0
безмозглость;ABSTRACT:PROP;0.9549;0
безмолвие;ABSTRACT:ACTION;0.635;0
безмятежность;ABSTRACT:PROP;0.9994;0
безнадёга;ABSTRACT:PROP;0.9177;0
безнадёжность;ABSTRACT:PROP;0.9758;1
безнаказанность;ABSTRACT:PROP;0.9013;0
безнал;HUMAN;0.869;0
безначалие;ABSTRACT:ACTION;0.5679;0
безнравственность;ABSTRACT:PROP;0.9413;1
безобидность;ABSTRACT:PROP;0.9969;0
безоблачность;ABSTRACT:PROP;0.7371;0
безобразие;ABSTRACT:PROP;0.8031;0
безобразник;HUMAN;0.9996;0
безобразность;ABSTRACT:PROP;0.9358;0
безопасность;ABSTRACT:PROP;0.9985;1
безоружность;ABSTRACT:PROP;0.4663;0
безосновательность;ABSTRACT:PROP;0.578;0
безответность;ABSTRACT:ACTION;0.5461;0
безответственность;ABSTRACT:PROP;0.9987;1
безотказность;ABSTRACT:PROP;0.9932;0
безотлагательность;ABSTRACT:PROP;0.9434;0
безотрадность;ABSTRACT:PROP;0.3503;0
безотцовщина;ABSTRACT;0.9996;1
безошибочность;ABSTRACT:PROP;0.977;0
безработица;ABSTRACT:ACTION;0.9854;0
безработная;HUMAN;0.991;0
безработный;HUMAN;0.9999;1
безрадостность;ABSTRACT:PROP;0.6895;0
безразличие;ABSTRACT:PROP;1.0;1
безразличность;ABSTRACT:PROP;0.8635;0
безрассудность;ABSTRACT:PROP;0.9961;0
безрассудство;ABSTRACT:PROP;0.9989;0
безрезультатность;ABSTRACT:PROP;0.6511;0
безропотность;ABSTRACT:PROP;0.8287;0
безрукавка;THING;1.0;1
безрыбье;ABSTRACT:ACTION;0.3833;0
безудержность;ABSTRACT:PROP;0.9447;0
безукоризненность;ABSTRACT:PROP;0.9999;0
безумец;HUMAN;1.0;1
безумие;ABSTRACT;1.0;0
безумство;ABSTRACT:ACTION;0.7027;0
безупречность;ABSTRACT:PROP;0.9989;1
безусловность;ABSTRACT:PROP;0.642;0
безуспешность;ABSTRACT:ACTION;0.6733;0
безутешность;ABSTRACT:PROP;0.8931;0
безучастие;ABSTRACT:PROP;0.9939;0
безучастность;ABSTRACT:PROP;0.9999;0
безыдейность;ABSTRACT;1.0;0
безызвестность;ABSTRACT:ACTION;0.6059;0
безымянность;ABSTRACT:PROP;0.5261;0
безынициативность;ABSTRACT:PROP;0.6658;0
безыскусность;ABSTRACT:PROP;0.9672;0
безыскусственность;ABSTRACT:PROP;0.7852;0
безысходность;ABSTRACT:PROP;0.9974;0
бейдевинд;HUMAN;0.769;0
бейдж;THING;0.9995;1
бейджик;THING;0.9848;0
бейлиф;HUMAN;1.0;0
бейсбол;ABSTRACT:ACTION;0.9905;0
бейсболист;HUMAN;1.0;0
бейсболка;THING;0.9999;1
бейт;ABSTRACT:ACTION;0.8669;0
бек;HUMAN;1.0;0
бекас;ANIMAL;1.0;0
бекеша;THING;1.0;0
бекон;FOOD;1.0;1
белена;PLANT;1.0;0
белиберда;ABSTRACT:ACTION;0.3706;0
белизна;ABSTRACT:PROP;0.9975;0
белка;ANIMAL;1.0;1
белладонна;PLANT;0.9986;0
беллетрист;HUMAN;0.9999;1
беллетристика;ABSTRACT;1.0;1
беловик;HUMAN;0.9039;0
белогвардеец;HUMAN;1.0;1
белогвардейщина;ABSTRACT;0.9989;0
белок;CHEMICAL_SUBSTANCE;1.0;0
белокровие;ABSTRACT;0.9824;0
беломорина;THING;0.9804;0
белорус;HUMAN;1.0;1
белорыбица;ANIMAL;0.9668;0
белоснежность;ABSTRACT:PROP;0.8097;0
белочка;ANIMAL;1.0;1
белошвейка;HUMAN;1.0;0
белоэмигрант;HUMAN;1.0;0
белуга;ANIMAL;0.9999;1
белуха;ANIMAL;0.9983;0
белые;GROUP_OF_PEOPLE;1.0;0
белый;HUMAN;0.9994;0
бель;HUMAN;0.8126;0
бельведер;CONSTRUCTION;1.0;0
бельгиец;HUMAN;1.0;1
бельгийка;HUMAN;1.0;0
бельевая;PLACE;0.9251;0
бельишко;THING;1.0;1
бельканто;ABSTRACT:ACTION;0.906;0
бельмо;THING;0.9817;0
бельчонок;ANIMAL;0.9999;0
бельэтаж;THING;0.887;0
бельё;THING;1.0;1
беляк;HUMAN;0.9996;0
беляш;FOOD;0.9944;0
белёсость;ABSTRACT:ACTION;0.4602;0
бенгалец;HUMAN;0.9051;0
бенедиктин;FOOD;0.524;0
бенедиктинец;HUMAN;1.0;0
бенефис;ABSTRACT:ACTION;0.9872;0
бенефициар;HUMAN;0.9999;0
бенефициарий;HUMAN;0.9997;0
бенефиций;HUMAN;0.7455;0
бензин;CHEMICAL_SUBSTANCE;1.0;1
бензобак;THING;0.9682;0
бензовоз;THING;0.6862;0
бензозаправка;CONSTRUCTION;0.9997;0
бензозаправщик;TRANSPORT;0.8323;0
бензоколонка;CONSTRUCTION;0.9961;1
бензол;CHEMICAL_SUBSTANCE;1.0;0
бензонасос;THING;0.9864;0
бензопила;THING;0.9997;1
бензопровод;TRANSPORT;0.6009;0
бензохранилище;THING;0.8949;0
бенуар;HUMAN;0.796;0
бербер;HUMAN;0.9983;0
берберы;GROUP_OF_PEOPLE;1.0;0
бергамот;FOOD;0.5328;0
берданка;THING;1.0;0
бердыш;THING;0.9995;0
берег;PLACE;1.0;1
берегиня;HUMAN;1.0;0
бережение;ABSTRACT:PROP;0.8315;0
бережливость;ABSTRACT:PROP;0.9859;1
бережность;ABSTRACT:PROP;0.9913;0
бережок;PLACE;0.9607;1
березник;PLANT;0.994;0
берейтор;HUMAN;1.0;0
беременная;HUMAN;1.0;0
беременность;ABSTRACT:ACTION;0.9886;0
беремя;THING;0.9687;0
берендей;HUMAN;0.9931;0
бересклет;PLANT;0.999;0
берест;HUMAN;0.907;0
береста;MATERIAL;0.8309;0
берет;THING;1.0;1
беретик;THING;1.0;0
берилл;MATERIAL;0.9916;0
бериллий;CHEMICAL_SUBSTANCE;0.9959;0
беркут;ANIMAL;1.0;1
берлин;THING;0.8198;0
берлина;THING;0.9957;0
берлинец;HUMAN;1.0;0
берлога;PLACE;1.0;1
берсальер;HUMAN;0.8968;0
берсерк;HUMAN;0.9983;1
берсеркер;ANIMAL;0.6763;0
берцо;THING;0.9935;0
берёза;PLANT;1.0;1
берёзка;PLANT;1.0;1
берёста;MATERIAL;0.9979;0
бес;HUMAN;0.9997;0
беседа;ABSTRACT:ACTION;1.0;0
беседка;PLACE;0.9997;1
бескозырка;THING;0.9992;1
бескомпромиссность;ABSTRACT:PROP;0.9879;0
бесконечность;ABSTRACT;1.0;1
бесконтрольность;ABSTRACT:ACTION;0.5929;0
бесконфликтность;ABSTRACT:ACTION;0.4778;0
бескормица;ABSTRACT:ACTION;0.9588;0
бескорыстие;ABSTRACT;1.0;0
бескорыстность;ABSTRACT:PROP;0.6136;0
бескрайность;ABSTRACT:PROP;0.5296;0
бескультурье;ABSTRACT:PROP;0.97;0
беснование;ABSTRACT:ACTION;0.8376;0
бесноватость;ABSTRACT:ACTION;0.3564;0
бесовка;HUMAN;0.9961;0
бесовство;ABSTRACT;0.9871;0
бесовщина;ABSTRACT;1.0;0
беспамятство;ABSTRACT:ACTION;0.7826;0
беспардонность;ABSTRACT:PROP;0.8881;0
беспартийность;ABSTRACT;0.9982;0
беспартийный;HUMAN;0.9998;0
бесперебойность;ABSTRACT:ACTION;0.5801;0
бесперспективность;ABSTRACT:PROP;0.5295;0
беспечность;ABSTRACT:PROP;1.0;1
беспилотник;THING;0.8522;0
бесплатность;ABSTRACT:ACTION;0.5823;0
бесплодие;ABSTRACT:ACTION;0.9113;0
бесплодность;ABSTRACT:PROP;0.8759;0
бесплотность;ABSTRACT:PROP;0.9904;0
бесповоротность;ABSTRACT:PROP;0.6491;0
беспозвоночные;ABSTRACT:ACTION;0.4141;0
беспокойство;ABSTRACT:PROP;0.9478;0
бесполезность;ABSTRACT;1.0;1
беспомощность;ABSTRACT:PROP;1.0;1
беспорядок;ABSTRACT:PROP;0.9903;0
беспорядочность;ABSTRACT:PROP;0.9998;0
беспочвенность;ABSTRACT;1.0;0
беспощадность;ABSTRACT:PROP;0.9961;1
бесправие;ABSTRACT:PROP;0.4712;0
беспредел;ABSTRACT:ACTION;0.8942;1
беспредельность;ABSTRACT;0.9978;1
беспредельщик;HUMAN;1.0;0
беспредметность;ABSTRACT;0.9998;0
бесприданница;HUMAN;0.9988;0
беспризорная;ABSTRACT:ACTION;0.9595;0
беспризорник;HUMAN;1.0;1
беспризорница;HUMAN;0.9979;0
беспризорность;ABSTRACT:ACTION;0.4712;0
беспризорный;ABSTRACT:ACTION;0.5518;0
беспринципность;ABSTRACT:PROP;0.9985;0
беспристрастие;ABSTRACT:PROP;0.9456;0
беспристрастность;ABSTRACT:PROP;0.9296;1
беспричинность;ABSTRACT:PROP;0.4771;0
бесприютность;ABSTRACT:PROP;0.7345;0
беспросветность;ABSTRACT:PROP;0.9817;0
беспутство;ABSTRACT:PROP;0.8955;0
бессвязность;ABSTRACT:PROP;0.9899;0
бессердечие;ABSTRACT:PROP;0.9999;0
бессердечность;ABSTRACT:PROP;0.988;0
бессилие;ABSTRACT:PROP;0.9989;0
бессистемность;ABSTRACT:PROP;0.9515;0
бесславие;ABSTRACT;1.0;0
бессловесность;ABSTRACT:ACTION;0.3876;0
бессмертие;ABSTRACT;1.0;1
бессмертник;PLANT;1.0;1
бессмертность;ABSTRACT:PROP;0.69;0
бессмысленность;ABSTRACT:PROP;0.9829;0
бессмыслие;ABSTRACT:PROP;0.9218;0
бессмыслица;ABSTRACT;1.0;1
бессовестность;ABSTRACT:PROP;0.963;0
бессодержательность;ABSTRACT:PROP;0.9862;0
бессознательность;ABSTRACT:PROP;0.6854;0
бессонница;ABSTRACT:ACTION;0.9553;0
бесспорность;ABSTRACT:PROP;0.8486;0
бессребреник;HUMAN;1.0;0
бесстрастие;ABSTRACT:PROP;0.999;0
бесстрастность;ABSTRACT:PROP;0.9929;0
бесстрашие;ABSTRACT:PROP;0.9998;1
бесстыдник;HUMAN;0.9934;0
бесстыдница;HUMAN;0.9996;0
бесстыдство;ABSTRACT:PROP;0.9997;1
бестактность;ABSTRACT:PROP;0.9907;0
бесталанность;ABSTRACT:PROP;0.9114;0
бестиарий;HUMAN;0.9394;0
бестия;ANIMAL;0.9998;0
бестолковка;ABSTRACT:PROP;0.3669;0
бестолковость;ABSTRACT:PROP;1.0;0
бестолковщина;ABSTRACT:ACTION;0.5222;0
бестолочь;HUMAN;1.0;1
бестселлер;ABSTRACT:ACTION;0.5815;0
бесформенность;ABSTRACT:PROP;0.7438;0
бесхарактерность;ABSTRACT:PROP;0.9031;0
бесхитростность;ABSTRACT:PROP;0.9987;0
бесхозяйственность;ABSTRACT:PROP;0.6892;0
бесхребетность;ABSTRACT:PROP;0.9291;0
бесцветность;ABSTRACT:PROP;0.9992;0
бесцельность;ABSTRACT:PROP;0.7263;0
бесценность;ABSTRACT:PROP;0.4785;0
бесценок;ABSTRACT:ACTION;0.4834;0
бесцеремонность;ABSTRACT:PROP;0.9993;1
бесчеловечие;ABSTRACT:PROP;0.7257;0
бесчеловечность;ABSTRACT:PROP;0.9405;0
бесчестие;ABSTRACT:PROP;0.6702;0
бесчестность;ABSTRACT:PROP;0.4684;0
бесчестье;ABSTRACT;1.0;1
бесчинство;ABSTRACT:ACTION;0.9996;0
бесчисленность;ABSTRACT:ACTION;0.4575;0
бесчувственность;ABSTRACT:PROP;0.9875;0
бесчувствие;ABSTRACT:PROP;0.6802;0
бесшабашность;ABSTRACT:PROP;0.9986;0
бесшумность;ABSTRACT:PROP;0.9353;0
бесёнок;HUMAN;0.8525;0
бета;ABSTRACT:ACTION;0.9227;0
бета-версия;ABSTRACT:ACTION;0.67;0
бета-каротин;CHEMICAL_SUBSTANCE;0.8126;0
бетель;FOOD;0.7508;0
бетон;MATERIAL;0.9998;1
бетонирование;ABSTRACT:ACTION;0.9793;0
бетонка;CONSTRUCTION;0.9913;1
бетономешалка;THING;0.7923;0
бетонщик;HUMAN;0.9979;0
бефстроганов;FOOD;0.8796;0
бечева;THING;0.9649;0
бечевник;CONSTRUCTION;0.6745;0
бечёвка;THING;0.9998;1
бешбармак;FOOD;0.737;0
бешенство;ABSTRACT:PROP;0.9704;0
бешмет;THING;0.9999;0
бзик;ABSTRACT:ACTION;0.6053;0
би;ABSTRACT:ACTION;0.4985;0
биатлон;ABSTRACT:ACTION;0.9361;0
библеист;ABSTRACT:ACTION;0.3275;0
библиограф;HUMAN;1.0;0
библиография;ABSTRACT;0.9707;1
библиотека;CONSTRUCTION;1.0;0
библиотекарша;HUMAN;1.0;1
библиотекарь;HUMAN;1.0;1
библиотечка;THING;0.9957;0
библиофил;HUMAN;1.0;0
библия;THING;1.0;1
бивак;CONSTRUCTION;0.888;0
бивень;THING;0.7606;0
бивни;THING;0.9991;0
бивуак;THING;0.9118;0
бигос;FOOD;0.4766;0
бигуди;THING;0.999;1
биде;THING;1.0;1
бидон;THING;1.0;1
бидончик;THING;1.0;0
биение;ABSTRACT:ACTION;0.9966;0
биеннале;HUMAN;0.9062;0
бижутерия;THING;0.9999;1
бизань;HUMAN;0.4326;0
бизань-мачта;TRANSPORT;0.9563;0
бизнес;ABSTRACT;1.0;1
бизнес-идея;ABSTRACT:ACTION;0.4905;0
бизнес-класс;TRANSPORT;0.6884;0
бизнес-ланч;ABSTRACT:ACTION;0.9877;0
бизнес-леди;HUMAN;1.0;0
бизнес-модель;ABSTRACT:ACTION;0.5168;0
бизнес-партнёр;HUMAN;0.9998;0
бизнес-план;ABSTRACT;0.9314;0
бизнес-проект;ABSTRACT:ACTION;0.9826;0
бизнес-центр;CONSTRUCTION;0.6331;0
бизнес-школа;ABSTRACT;0.6928;0
бизнес-элита;ABSTRACT;0.9983;0
бизнесвумен;HUMAN;1.0;0
бизнесмен;HUMAN;1.0;1
бизнесменша;HUMAN;0.9956;0
бизон;ANIMAL;1.0;1
бикини;THING;0.9997;1
бикса;THING;0.7869;0
билборд;HUMAN;0.6695;0
